序号,开课单位,课程名称,课程时长,课程负载,内容类型,课程分类,参加人数,课程链接
114,中国农业大学,C++语言程序设计（下）——从C到C++,8周,3-5小时每周,视频 文档 讨论,计算机,6599,http://www.icourse163.org/course/CAU-432001
115,中国农业大学,C++语言程序设计（上）,8周,3-5小时每周,视频 文档 讨论,计算机,10330,http://www.icourse163.org/course/CAU-368007
116,中国农业大学,信息安全概论,15周,4,视频 文档 随堂测验 富文本 讨论,工学,4816,http://www.icourse163.org/course/CAU-251001
117,中国农业大学,C语言程序设计——快速入门与提高,16周,4,视频 文档 随堂测验 富文本 讨论,计算机,26229,http://www.icourse163.org/course/CAU-24005
118,中国农业大学,计算机图形学,12周,3-4,视频 文档,计算机,13827,http://www.icourse163.org/course/CAU-45006
119,中国农业大学,画法几何与技术制图基础,14周,4,视频 文档 随堂测验 富文本 讨论,工学,9495,http://www.icourse163.org/course/CAU-37001
120,中国农业大学,大学计算机基础,15周,4-6小时每周,视频 文档 随堂测验 富文本 讨论,计算机,24709,http://www.icourse163.org/course/CAU-23004
121,北京师范大学,管理学,待定周,待定,视频 文档 随堂测验,经济管理,10303,http://www.icourse163.org/course/BNU-1002327008
122,北京师范大学,循环经济与可持续发展型企业,14周,2小时每周,视频 文档 富文本 讨论,经济管理/工学/生命科学,2000,http://www.icourse163.org/course/BNU-1001968013
123,北京师范大学,创造性心理学,8周,1-1.5小时/周,视频 文档 随堂测验 讨论,心理学,10767,http://www.icourse163.org/course/BNU-1002250016
124,北京师范大学,语文课程标准与教材研究,14周,2-3小时每周,视频 文档 讨论,教育教学,2774,http://www.icourse163.org/course/BNU-1002227006
125,北京师范大学,西方文学经典鉴赏,13周,1-2小时每周,视频 随堂测验 讨论,文学历史,11525,http://www.icourse163.org/course/BNU-1001563013
126,北京师范大学,城市生态规划,,待定,视频 文档 随堂测验 富文本,工学/生命科学,2957,http://www.icourse163.org/course/BNU-1002012023
127,北京师范大学,环境规划,,待定,视频 文档 随堂测验 富文本,工学/生命科学,2294,http://www.icourse163.org/course/BNU-1002010029
128,北京师范大学,网络信息计量与评价,14周,1-2小时每周,视频 随堂测验 讨论,经济管理,19614,http://www.icourse163.org/course/BNU-1001998011
129,北京师范大学,中学化学教学设计与实践,13周,2-3小时每周,视频 文档,教育教学,2356,http://www.icourse163.org/course/BNU-1001934009
130,北京师范大学,环境科学概论之行动篇,13周,2-5小时每周,视频 文档 随堂测验 讨论,工学/生命科学,915,http://www.icourse163.org/course/BNU-1001675001
131,北京师范大学,环境污染事件与应急响应,14周,2小时每周,视频 文档 随堂测验 富文本 讨论,工学/生命科学,1668,http://www.icourse163.org/course/BNU-1001642001
132,南开大学,数学文化十讲CAP,12周,2小时每周,视频 文档 随堂测验 富文本 讨论,理学,8077,http://www.icourse163.org/course/NANKAI-1001637008
133,南开大学,环境学基础,21周,4小时每周,视频 文档 随堂测验 富文本 讨论,工学/生命科学,5534,http://www.icourse163.org/course/NANKAI-1001822012
134,南开大学,数学文化十讲,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,3091,http://www.icourse163.org/course/NANKAI-312001
135,天津大学,无机化学（下）,,待定,视频 文档 随堂测验 富文本 讨论,理学,1114,http://www.icourse163.org/course/TJU-1002269008
136,天津大学,无机化学（上）,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,11485,http://www.icourse163.org/course/TJU-387002
137,大连理工大学,结构力学——静定结构力学,8周,5-7小时每周,视频 文档 随堂测验 讨论,工学,2717,http://www.icourse163.org/course/DLUT-1002081013
138,大连理工大学,画法几何及土木工程制图（下）,12周,4-5小时每周,视频 文档 随堂测验 讨论,工学,5463,http://www.icourse163.org/course/DLUT-1002255001
139,大连理工大学,画法几何及土木工程制图（上）,8周,4-5小时每周,视频 文档 随堂测验 讨论,工学,10005,http://www.icourse163.org/course/DLUT-1002246013
140,大连理工大学,电子技术（电工学 下）,8周,每周3~5小时,视频 文档 随堂测验 富文本 讨论,工学,4764,http://www.icourse163.org/course/DLUT-1002248007
141,大连理工大学,水利工程施工,12周,4小时每周,视频 文档 随堂测验 讨论,工学,1274,http://www.icourse163.org/course/DLUT-1002245012
142,大连理工大学,结构力学——超静定结构力学,待定周,待定,视频 文档 随堂测验 讨论,工学,2634,http://www.icourse163.org/course/DLUT-1002245011
143,大连理工大学,化工原理（下册）,12周,3-5小时每周,视频 文档 讨论,工学,1356,http://www.icourse163.org/course/DLUT-1002201005
144,大连理工大学,化工原理（上册）,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,4570,http://www.icourse163.org/course/DLUT-1002199011
145,大连理工大学,工程力学——静力学,8周,4小时,视频 文档 随堂测验 富文本 讨论,工学,4592,http://www.icourse163.org/course/DLUT-1002146001
146,大连理工大学,化学与社会CAP,12周,2-3小时每周,视频 文档 随堂测验 讨论,理学,4408,http://www.icourse163.org/course/DLUT-1001614001
147,大连理工大学,大学物理—光学,9周,3-5,视频 文档 随堂测验 富文本 讨论,理学,5120,http://www.icourse163.org/course/DLUT-1001916004
148,大连理工大学,大学物理—量子物理基础及应用,7周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,理学,2255,http://www.icourse163.org/course/DLUT-1001915005
149,大连理工大学,大学物理—相对论、电磁学,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,3366,http://www.icourse163.org/course/DLUT-1001915004
150,大连理工大学,大学物理—力学、振动与波动,9周,3-5,视频 文档 随堂测验 富文本 讨论,理学,4229,http://www.icourse163.org/course/DLUT-1001917001
151,大连理工大学,脑洞大开背后的创新方法,待定周,待定,视频 随堂测验 讨论,经济管理/文学历史,7096,http://www.icourse163.org/course/DLUT-1002084008
152,大连理工大学,脑洞大开背后的创新思维,18周,3-5周每小时,视频,经济管理/教育教学,12245,http://www.icourse163.org/course/DLUT-1001772013
153,大连理工大学,社会调查与统计分析,12周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,5341,http://www.icourse163.org/course/DLUT-1002083018
154,大连理工大学,家庭理财,待定周,待定,视频 文档 随堂测验 讨论,经济管理,8653,http://www.icourse163.org/course/DLUT-1002083017
155,大连理工大学,体育舞蹈与文化,8周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,艺术设计,3220,http://www.icourse163.org/course/DLUT-1002080012
156,大连理工大学,理论力学,16周,3-5小时每周,视频 文档 随堂测验 讨论,工学,3784,http://www.icourse163.org/course/DLUT-1002082011
157,大连理工大学,创业基础与实务,10周,3小时每周,视频 文档 随堂测验 讨论,经济管理/教育教学,1164,http://www.icourse163.org/course/DLUT-1002081010
158,大连理工大学,流体力学,21周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,13275,http://www.icourse163.org/course/DLUT-1002043010
159,大连理工大学,材料力学,16周,3-5,视频 随堂测验 讨论,工学,9048,http://www.icourse163.org/course/DLUT-1001962032
160,大连理工大学,化工过程分析与合成,7周,4,视频 文档 随堂测验 富文本 讨论,工学,1377,http://www.icourse163.org/course/DLUT-1001997004
161,大连理工大学,力学A,12周,4小时每周,视频 文档 随堂测验,理学,2908,http://www.icourse163.org/course/DLUT-1001998010
162,大连理工大学,电工技术（电工学 上）,8周,3-4小时每周,视频 文档 随堂测验,工学,6533,http://www.icourse163.org/course/DLUT-1001988002
163,大连理工大学,C语言程序设计,14周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,12941,http://www.icourse163.org/course/DLUT-1001948002
164,大连理工大学,分析化学,18周,2小时每周,视频 文档 随堂测验 富文本 讨论,理学,4659,http://www.icourse163.org/course/DLUT-1001884001
165,大连理工大学,物理化学（二）,18周,3-4小时每周,视频 文档 随堂测验 讨论,理学,3076,http://www.icourse163.org/course/DLUT-1001734003
166,大连理工大学,物理化学（一）,17周,3-4小时每周,视频 文档 随堂测验 讨论,理学,5093,http://www.icourse163.org/course/DLUT-1001734002
167,大连理工大学,材料科学基础,16周,3-5小时每周,视频 文档 随堂测验 讨论,工学,5445,http://www.icourse163.org/course/DLUT-1001944005
168,大连理工大学,粉体力学,12周,3-5小时每周,视频 文档 随堂测验 讨论,工学,1186,http://www.icourse163.org/course/DLUT-1001915002
169,大连理工大学,大学计算机,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,20138,http://www.icourse163.org/course/DLUT-1001938002
170,大连理工大学,无机化学（下）,12周,3-5小时每周,视频 文档 随堂测验 讨论,理学,3956,http://www.icourse163.org/course/DLUT-1001907002
171,大连理工大学,现代工程制图（下）,13周,3-5小时每周,视频 文档 富文本 讨论,,3498,http://www.icourse163.org/course/DLUT-1001854001
172,大连理工大学,计算机组织与结构,18周,4,视频 文档 随堂测验 富文本 讨论,,1680,http://www.icourse163.org/course/DLUT-1001850005
173,大连理工大学,IT行业职场英语,14周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,外语,12343,http://www.icourse163.org/course/DLUT-1001808011
174,大连理工大学,现代工程制图（上）,13周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,11851,http://www.icourse163.org/course/DLUT-1001757009
175,大连理工大学,无机化学（上）,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,13512,http://www.icourse163.org/course/DLUT-1001630001
176,大连理工大学,普通化学,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,6788,http://www.icourse163.org/course/DLUT-45001
177,大连理工大学,有机化学（下）,18周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,4988,http://www.icourse163.org/course/DLUT-212002
178,大连理工大学,有机化学（上）,18周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,8463,http://www.icourse163.org/course/DLUT-44001
179,大连理工大学,化学与社会,10周,3-4小时,视频 文档 随堂测验 讨论,理学,2099,http://www.icourse163.org/course/DLUT-73001
180,吉林大学,工程图学（一）,14周,4,视频 随堂测验 讨论,工学,9403,http://www.icourse163.org/course/JLU-1002256021
181,吉林大学,私法英语表达,10周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,外语,4797,http://www.icourse163.org/course/JLU-1002082006
182,吉林大学,西方现代艺术赏析,10周,2—3小时每周,视频 文档 随堂测验 富文本 讨论,艺术设计,8088,http://www.icourse163.org/course/JLU-1002082013
183,吉林大学,西方文论原典导读,16周,2-4小时每周,视频 文档 随堂测验 讨论,文学历史,2892,http://www.icourse163.org/course/JLU-1002084007
184,吉林大学,微机原理与接口技术,16周,3-5小时每周,视频 文档 富文本 讨论,计算机,6168,http://www.icourse163.org/course/JLU-1002056024
185,吉林大学,C语言程序设计,14周,3-5学时每周,视频 文档 随堂测验 富文本 讨论,计算机,9315,http://www.icourse163.org/course/JLU-1002058028
186,吉林大学,工程图学（二）,15周,3-5小时每周,视频 讨论,工学,4822,http://www.icourse163.org/course/JLU-1001512001
187,吉林大学,力学(上),11周,3~5小时每周,视频 文档 随堂测验 富文本 讨论,理学,3115,http://www.icourse163.org/course/JLU-68001
188,吉林大学,力学(下),11周,3～5小时每周,视频 文档 随堂测验 富文本 讨论,理学,2534,http://www.icourse163.org/course/JLU-68002
189,吉林大学,绿色康复,10周,1-2小时每周,视频 文档,生命科学,3382,http://www.icourse163.org/course/JLU-1001655003
190,吉林大学,机械原理,18周,2-3小时每周,视频 文档 随堂测验,工学,3774,http://www.icourse163.org/course/JLU-1001639007
