序号,开课单位,课程名称,课程时长,课程负载,内容类型,课程分类,参加人数,课程链接
923,河南大学,走近化学,11周,3小时每周,视频 文档,,264,http://www.icourse163.org/course/HENU-1001796005
924,河南大学,现代教育技术应用,12周,1-3小时每周,视频 文档 讨论,,1207,http://www.icourse163.org/course/HENU-1001796004
925,河南大学,德育原理,11周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,教育教学,1546,http://www.icourse163.org/course/HENU-351001
926,中国地质大学（武汉）,零基础学C语言,8周,2-3小时每周,视频 文档 随堂测验 讨论,计算机,23444,http://www.icourse163.org/course/CUG-1001632003
927,中国地质大学（武汉）,分析化学,13周,3-5小时每周,视频 文档 随堂测验 讨论,理学,3525,http://www.icourse163.org/course/CUG-1001960010
928,中国地质大学（武汉）,结晶学及矿物学,16周,3-5小时每周,视频 文档 讨论,理学,2982,http://www.icourse163.org/course/CUG-1001902005
929,中国地质大学（武汉）,金属材料及热处理,9周,4小时每周,视频,工学,4566,http://www.icourse163.org/course/CUG-1001632002
930,中国地质大学（武汉）,周口店野外地质实践教学,9周,3-6小时每周,视频 文档 随堂测验 讨论,理学,1236,http://www.icourse163.org/course/CUG-1001591013
931,武汉理工大学,婚恋-职场-人格,12周,1-2小时每周,视频 文档 随堂测验 讨论,心理学,29684,http://www.icourse163.org/course/WHUT-1002186003
932,武汉理工大学,金属工艺学,11周,2-3小时每周,视频 文档 随堂测验 讨论,工学,3610,http://www.icourse163.org/course/WHUT-1002145001
933,武汉理工大学,知识产权法学,12周,2-3小时,视频 随堂测验 讨论,法学,5486,http://www.icourse163.org/course/WHUT-1001821007
934,武汉理工大学,人·车·社会,16周,2,视频 文档 随堂测验 讨论,工学,2255,http://www.icourse163.org/course/WHUT-1002015024
935,武汉理工大学,互换性与测量技术,15周,3小时/周,视频 文档 随堂测验 富文本 讨论,工学,5211,http://www.icourse163.org/course/WHUT-1001959010
936,武汉理工大学,经济数学—微积分（一）,15周,3-5小时每周,视频 文档 随堂测验 讨论,理学,14847,http://www.icourse163.org/course/WHUT-1001529001
937,武汉理工大学,结构动力学,8周,3,视频 文档 随堂测验 富文本 讨论,,139,http://www.icourse163.org/course/WHUT-1001862006
938,武汉理工大学,互换性与测量技术,9周,5小时每周,视频 文档 随堂测验 富文本 讨论,,3504,http://www.icourse163.org/course/WHUT-1001860005
939,武汉理工大学,C编程方法学,14周,3-5,视频 文档 随堂测验 富文本 讨论,,1930,http://www.icourse163.org/course/WHUT-1001862005
940,武汉理工大学,传感与检测技术,16周,4,视频 文档 富文本 讨论,,2928,http://www.icourse163.org/course/WHUT-1001863004
941,武汉理工大学,人文物理,9周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,,832,http://www.icourse163.org/course/WHUT-1001860004
942,武汉理工大学,工程机械结构力学,20周,1-3小时每周,视频 文档 随堂测验 讨论,,339,http://www.icourse163.org/course/WHUT-1001863003
943,武汉理工大学,MIS系统软件,18周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,,660,http://www.icourse163.org/course/WHUT-1001861003
944,武汉理工大学,管理学原理,15周,3-5小时每周,视频 文档 随堂测验 讨论,,5326,http://www.icourse163.org/course/WHUT-1001864003
945,武汉理工大学,航海学,8周,4小时/周,视频 文档 随堂测验 富文本 讨论,,337,http://www.icourse163.org/course/WHUT-1001863002
946,武汉理工大学,大学生涯规划与职业发展,8周,1-2小时每周,视频 文档 随堂测验 讨论,,1197,http://www.icourse163.org/course/WHUT-1001864002
947,武汉理工大学,数字电路01密码的奥秘,16周,4-6,视频 文档 随堂测验 富文本 讨论,,661,http://www.icourse163.org/course/WHUT-1001862004
948,武汉理工大学,材料工程基础,15周,3-5小时每周,视频 文档 随堂测验 讨论,,1432,http://www.icourse163.org/course/WHUT-1001850001
949,武汉理工大学,无机非金属材料实验,15周,4-6,视频 文档 随堂测验 讨论,工学,2035,http://www.icourse163.org/course/WHUT-1001674004
950,武汉理工大学,物流系统工程,12周,3,视频 文档 随堂测验 富文本 讨论,经济管理,3362,http://www.icourse163.org/course/WHUT-1001539002
951,武汉理工大学,经济数学—概率论与数理统计,14周,5小时每周,视频 文档 随堂测验 讨论,理学,12309,http://www.icourse163.org/course/WHUT-1001530002
952,武汉理工大学,经济数学—线性代数,19周,3-5小时每周,视频 文档 随堂测验 讨论,理学,10935,http://www.icourse163.org/course/WHUT-1001529002
953,武汉理工大学,太极拳文化与功法习练,17周,1-2小时每周,视频 文档 随堂测验 富文本 讨论,生命科学/教育教学,7510,http://www.icourse163.org/course/WHUT-1001514008
954,华中农业大学,高等数学一,13周,65,视频 文档 讨论,理学,14121,http://www.icourse163.org/course/HZAU-1002329023
955,华中农业大学,动物组织胚胎学,7周,3-4小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,426,http://www.icourse163.org/course/HZAU-1002249007
956,华中农业大学,公司理财,12周,3-5小时每周,视频 随堂测验 讨论,经济管理,5730,http://www.icourse163.org/course/HZAU-1002203008
957,华中农业大学,线性代数,14周,2-3小时每周,视频 文档 随堂测验 讨论,理学,11102,http://www.icourse163.org/course/HZAU-1002187001
958,华中农业大学,园艺概论,8周,2-3小时/周,视频,生命科学,3123,http://www.icourse163.org/course/HZAU-1001964004
959,华中农业大学,生命科学导论,7周,4,视频 讨论,生命科学,2825,http://www.icourse163.org/course/HZAU-1001967007
960,华中农业大学,地质与地貌学,14周,2-3小时每周,视频 文档 随堂测验 讨论,工学,3852,http://www.icourse163.org/course/HZAU-1001963006
961,华中农业大学,宠物犬鉴赏,8周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,10526,http://www.icourse163.org/course/HZAU-1001967005
962,华中农业大学,畜牧学概论,10周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,1641,http://www.icourse163.org/course/HZAU-1001965003
963,华中农业大学,经济学原理,14周,1-3小时每周,视频 文档 随堂测验 讨论,经济管理,17941,http://www.icourse163.org/course/HZAU-1001804013
964,华中农业大学,魅力汉语,10周,2-3学时每周,视频 讨论,文学历史,10359,http://www.icourse163.org/course/HZAU-1001741023
965,华中农业大学,数学建模,15周,1-2小时每周,视频 随堂测验 讨论,理学,15949,http://www.icourse163.org/course/HZAU-1001658002
966,华中农业大学,普通昆虫学（二）,12周,2-3小时,视频 文档 随堂测验 讨论,生命科学,1925,http://www.icourse163.org/course/HZAU-1001741022
967,华中农业大学,普通昆虫学（一）,15周,2-3小时,视频 文档 随堂测验 讨论,生命科学,2306,http://www.icourse163.org/course/HZAU-1001618006
968,华中农业大学,植物学,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,6838,http://www.icourse163.org/course/HZAU-1001727012
969,华中农业大学,无机及分析化学（下）,11周,5,视频 文档 随堂测验 讨论,理学,4918,http://www.icourse163.org/course/HZAU-1001621003
970,华中农业大学,无机及分析化学（上）,12周,5,视频 文档 随堂测验 讨论,理学,9438,http://www.icourse163.org/course/HZAU-1001593010
971,华中农业大学,中国饮食文化,14周,2-3,视频 文档 随堂测验 富文本 讨论,文学历史/生命科学,23927,http://www.icourse163.org/course/HZAU-1001700020
972,华中农业大学,认识星空,13周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,理学,6651,http://www.icourse163.org/course/HZAU-1001670003
973,华中农业大学,数学文化欣赏,9周,3-5小时每周,视频 文档 随堂测验,理学,1893,http://www.icourse163.org/course/HZAU-1001556021
974,华中农业大学,动物生理学,15周,3小时每周,视频 文档 随堂测验 讨论,生命科学,4216,http://www.icourse163.org/course/HZAU-1001546002
975,华中农业大学,有机化学,15周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,6264,http://www.icourse163.org/course/HZAU-1001516001
976,华中师范大学,中学生物学教学设计,10周,4小时每周,视频 文档 随堂测验 讨论,教育教学,4450,http://www.icourse163.org/course/CCNU-1002328006
977,华中师范大学,新闻伦理与法规,14周,40-60分钟每周,视频 文档 随堂测验 富文本 讨论,文学历史,3223,http://www.icourse163.org/course/CCNU-1002085010
978,华中师范大学,文学经典导读,16周,2小时每周,视频 随堂测验 讨论,文学历史,10929,http://www.icourse163.org/course/CCNU-1002084006
979,华中师范大学,心理学：我知无不言，它妙不可言,10周,1-2小时每周,视频 文档 随堂测验 富文本 讨论,心理学,41176,http://www.icourse163.org/course/CCNU-1002124005
980,华中师范大学,习字与书法艺术,8周,2小时左右/周,视频 文档,艺术设计,10002,http://www.icourse163.org/course/CCNU-1002082010
981,华中师范大学,环境与健康,12周,2小时每周,视频 文档 随堂测验 讨论,理学,984,http://www.icourse163.org/course/CCNU-1002082008
982,华中师范大学,诺贝尔生理学或医学奖史话,10周,2.5-3.5,视频 文档 随堂测验 富文本 讨论,生命科学,4517,http://www.icourse163.org/course/CCNU-1002044014
983,华中师范大学,比较文学,14周,1-2小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,7849,http://www.icourse163.org/course/CCNU-1001511012
984,湖北大学,传统社会的婚姻家庭,15周,3小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,8046,http://www.icourse163.org/course/HUBU-1001939004
985,湖北大学,运动与健康,14周,2小时每周,视频 文档 随堂测验 富文本 讨论,生命科学/教育教学,9155,http://www.icourse163.org/course/HUBU-1001939003
986,中南财经政法大学,商务英语,8周,3小时/周,视频 文档 随堂测验 富文本 讨论,外语,28969,http://www.icourse163.org/course/ZNUEDU-1001822002
987,中南财经政法大学,中国税制,7周,2-4小时每周,视频 随堂测验 富文本,经济管理,12282,http://www.icourse163.org/course/ZNUEDU-1002080015
988,中南财经政法大学,财政学,10周,3-5小时每周,视频 文档 随堂测验 讨论,经济管理,3573,http://www.icourse163.org/course/ZNUEDU-1001988001
989,中南财经政法大学,创业基础,7周,1-2小时每周,视频 文档 富文本 讨论,经济管理,4278,http://www.icourse163.org/course/ZNUEDU-1002012010
990,中南财经政法大学,人人学点营销学,12周,1-2小时每周,视频 随堂测验 讨论,经济管理,13583,http://www.icourse163.org/course/ZNUEDU-1001965012
991,中南财经政法大学,组织行为学,13周,2-4小时每周,视频 文档 随堂测验 讨论,经济管理,10227,http://www.icourse163.org/course/ZNUEDU-1001646001
992,中南财经政法大学,行政管理学,17周,3-5小时每周,视频 随堂测验 讨论,经济管理,3687,http://www.icourse163.org/course/ZNUEDU-1001772005
993,中南财经政法大学,国家预算管理,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,5008,http://www.icourse163.org/course/ZNUEDU-1001758015
994,中南财经政法大学,计算机应用基础,12周,3小时,视频 文档 随堂测验 富文本 讨论,计算机,23132,http://www.icourse163.org/course/ZNUEDU-1001756012
995,中南财经政法大学,内部控制与风险管理,,3-5小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,2005,http://www.icourse163.org/course/ZNUEDU-1001616008
996,中南财经政法大学,经济地理与企业兴衰,8周,每周2-3小时,视频 文档 随堂测验 富文本 讨论,经济管理,2503,http://www.icourse163.org/course/ZNUEDU-1001615011
997,湖南农业大学,植物生理学,8周,3小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,2186,http://www.icourse163.org/course/HUNAU-1002111005
998,湖南农业大学,中国茶道,10周,3-4,视频 文档 富文本 讨论,文学历史/生命科学,29063,http://www.icourse163.org/course/HUNAU-1001667002
999,暨南大学,中医养生与亚健康防治,12周,每周1小时,视频 文档 随堂测验 讨论,生命科学,13652,http://www.icourse163.org/course/JNU-1002338005
1000,暨南大学,行政职业能力提升,12周,2,视频 文档,经济管理,5923,http://www.icourse163.org/course/JNU-1002146006
1001,暨南大学,国际私法,10周,2-2.5小时/每周,视频 文档 随堂测验 富文本 讨论,法学,3208,http://www.icourse163.org/course/JNU-1002141006
1002,暨南大学,法律人看婚姻家事,10周,1-3小时每周,视频 文档 随堂测验 讨论,法学,4179,http://www.icourse163.org/course/JNU-1002143003
1003,暨南大学,民法与生活,9周,1-3小时每周,视频 文档 随堂测验 讨论,法学,7816,http://www.icourse163.org/course/JNU-1002146003
1004,暨南大学,走近马克思,,待定,视频 文档 随堂测验 讨论,法学,89,http://www.icourse163.org/course/JNU-1002144003
1005,暨南大学,华文教育技术与实践,12周,1.5-2小时每周,视频 文档 随堂测验 富文本 讨论,教育教学,1448,http://www.icourse163.org/course/JNU-1002081009
1006,暨南大学,生活中的货币时间价值,13周,3小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,12871,http://www.icourse163.org/course/JNU-1002039003
1007,暨南大学,智圆行方的世界——中国传统文化概论,14周,3小时每周,视频 随堂测验 讨论,文学历史,7459,http://www.icourse163.org/course/JNU-1002025001
1008,暨南大学,《红楼梦》的空间艺术,12周,3-4小时每周,视频 随堂测验 讨论,文学历史,8543,http://www.icourse163.org/course/JNU-1002014003
1009,暨南大学,创业基础,12周,1.2-1.5小时每周,视频 随堂测验 富文本,经济管理,13183,http://www.icourse163.org/course/JNU-1002002002
1010,暨南大学,华文教学的理念与方法,14周,每周2小时,视频,教育教学,759,http://www.icourse163.org/course/JNU-1002000006
1011,暨南大学,生活中的物理学,11周,3小时每周,视频 随堂测验 讨论,理学,2079,http://www.icourse163.org/course/JNU-1001949001
1012,暨南大学,自然保护与生态安全：拯救地球家园,11周,2-3学时,视频 文档 随堂测验 富文本 讨论,生命科学,22736,http://www.icourse163.org/course/JNU-1001929015
1013,暨南大学,英美概况——纵览·博闻,待定周,待定,视频 文档 随堂测验 富文本 讨论,外语,19184,http://www.icourse163.org/course/JNU-1001933007
1014,暨南大学,英语语法与写作,8周,3,视频 文档 随堂测验 富文本,外语,54986,http://www.icourse163.org/course/JNU-1001929011
1015,暨南大学,中医与诊断—学做自己的医生,14周,3小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,26821,http://www.icourse163.org/course/JNU-1001682002
1016,暨南大学,数字营销：走进智慧的品牌,待定周,待定,视频 文档 富文本 讨论,文学历史,8761,http://www.icourse163.org/course/JNU-1001603003
1017,华南师范大学,《论语》教育智慧品绎,13周,2-3小时每周,视频 文档 随堂测验 讨论,文学历史/教育教学,6572,http://www.icourse163.org/course/scnu-1001752282
1018,广东技术师范学院,创业之路——带你玩转商业模式,10周,3小时每周,视频 文档 讨论,经济管理,8135,http://www.icourse163.org/course/GDIA-1002005005
1019,桂林电子科技大学,计算机科学导论,20周,4,视频 文档 随堂测验 富文本 讨论,计算机,5898,http://www.icourse163.org/course/GLIET-1002091005
1020,桂林电子科技大学,计算思维的结构,20周,4,视频 文档 随堂测验 富文本 讨论,计算机,5361,http://www.icourse163.org/course/GLIET-1001663006
1021,西南交通大学,职场英语,7周,3-5小时每周,视频 文档 随堂测验 讨论,外语,13287,http://www.icourse163.org/course/SWJTU-1002351002
1022,西南交通大学,西方现代化视野下的英美文学,8周,1-3小时每周,视频 文档,外语,4961,http://www.icourse163.org/course/SWJTU-1002353001
1023,西南交通大学,中国衣裳——传统服装文化,10周,每周3-4小时,视频 文档 随堂测验 讨论,艺术设计,7617,http://www.icourse163.org/course/SWJTU-1002339007
1024,西南交通大学,走进心理学,12周,2-3小时每周，每周一、周五上线课程,视频 文档 随堂测验 讨论,心理学,17160,http://www.icourse163.org/course/SWJTU-1002141008
1025,西南交通大学,大学生科技创新课程之起重机创意大赛,20周,3,视频 文档 随堂测验 讨论,经济管理/工学,5750,http://www.icourse163.org/course/SWJTU-1001908004
1026,西南交通大学,全球化与中国文化,8周,2-3小时每周,视频,文学历史,7058,http://www.icourse163.org/course/SWJTU-1001962002
1027,西南交通大学,大学生科技创新课程之中美青年创客大赛,,3,视频 文档 随堂测验 讨论,经济管理/工学,4366,http://www.icourse163.org/course/SWJTU-1001908005
1028,西南交通大学,大学生科技创新课程之“互联网+”创新创业大赛,20周,3,视频 文档 随堂测验 讨论,经济管理/工学,12196,http://www.icourse163.org/course/SWJTU-1001909005
1029,西南交通大学,大学生科技创新课程之交通科技大赛,20周,3,视频 文档 随堂测验 讨论,经济管理/工学,3618,http://www.icourse163.org/course/SWJTU-1001909004
1030,西南交通大学,大学生科技创新课程之智慧城市技术与创意大赛,20周,2,视频 文档 随堂测验 讨论,经济管理/工学,6015,http://www.icourse163.org/course/SWJTU-1001911007
1031,西南交通大学,大学生科技创新课程之节能减排社会实践与科技竞赛,20周,3,视频 文档 随堂测验 讨论,经济管理/工学,3410,http://www.icourse163.org/course/SWJTU-1001912002
1032,西南交通大学,大学生科技创新课程之“挑战杯”课外学术科技作品竞赛,20周,3小时,视频 文档 随堂测验 讨论,经济管理/工学,7711,http://www.icourse163.org/course/SWJTU-1001912001
1033,西南交通大学,大学生科技创新课程之机械创新设计大赛,20周,3小时每周,视频 文档 随堂测验 讨论,经济管理/工学,8651,http://www.icourse163.org/course/SWJTU-1001900002
1034,西南交通大学,工程伦理学,12周,4小时,视频 文档 富文本 讨论,经济管理/工学,1483,http://www.icourse163.org/course/SWJTU-1001634004
1035,西南交通大学,结构力学（二）,12周,3-5小时每周,视频 文档 讨论,工学,6512,http://www.icourse163.org/course/SWJTU-1001540004
1036,西南交通大学,从大学生到经理人的36项修炼,9周,3,视频 文档 讨论,经济管理/教育教学,12778,http://www.icourse163.org/course/SWJTU-409004
1037,西南交通大学,中华名相之管仲管理思想,17周,1.5-2,视频 文档 随堂测验 富文本 讨论,文学历史,11751,http://www.icourse163.org/course/SWJTU-409003
1038,西南交通大学,结构力学（一）,12周,3-5小时每周,视频 文档 讨论,工学,6681,http://www.icourse163.org/course/SWJTU-410003
1039,西南交通大学,理论力学,13周,3-5,视频 文档 讨论,工学,4592,http://www.icourse163.org/course/SWJTU-410002
1040,西南交通大学,材料力学,17周,5小时每周,视频 文档,工学,6578,http://www.icourse163.org/course/SWJTU-305001
1041,西南交通大学,高速铁路环境影响评价,12周,1小时每周,视频 文档,工学,1451,http://www.icourse163.org/course/SWJTU-170003
1042,西南交通大学,高速铁路运输组织,12周,1-2小时每周,视频 文档,工学,1684,http://www.icourse163.org/course/SWJTU-168005
1043,西南交通大学,高速铁路概论,12周,1-2小时每周,视频 文档 讨论,工学,3704,http://www.icourse163.org/course/SWJTU-169003
1044,西南交通大学,高速铁路信号系统,10周,2-3小时每周,视频,工学,2429,http://www.icourse163.org/course/SWJTU-170002
1045,西南交通大学,高速铁路牵引供电系统,待定周,待定,视频 文档,工学,3417,http://www.icourse163.org/course/SWJTU-169002
1046,西南交通大学,高速铁路动车组技术,12周,2-3小时每周,视频 文档 随堂测验,工学,3027,http://www.icourse163.org/course/SWJTU-171001
1047,西南交通大学,高速铁路桥梁与隧道工程,16周,3,视频 文档 随堂测验 讨论,工学,4541,http://www.icourse163.org/course/SWJTU-168004
1048,西南交通大学,高速铁路运营与维护,13周,1~2小时,视频 文档 讨论,工学,1798,http://www.icourse163.org/course/SWJTU-170001
1049,西南交通大学,高速铁路建设管理,14周,0.5-1小时每周,视频 文档 随堂测验 讨论,工学,1798,http://www.icourse163.org/course/SWJTU-168003
1050,西南交通大学,高速铁路规划与选线,12周,3-5小时每周,视频 文档 随堂测验 讨论,工学,1490,http://www.icourse163.org/course/SWJTU-168002
1051,西南交通大学,当代青年心理学(三)青年自我意识篇,110周,3-5小时每周,视频 文档 随堂测验 讨论,心理学,3727,http://www.icourse163.org/course/SWJTU-94003
1052,西南交通大学,当代青年心理学(二)青年身心发展篇,6周,2-4小时每周,视频 文档 随堂测验 讨论,心理学,5738,http://www.icourse163.org/course/SWJTU-93002
1053,西南交通大学,当代青年心理学(一)认识青年篇,5周,2-4小时每周,视频 文档 随堂测验 讨论,心理学,7384,http://www.icourse163.org/course/SWJTU-95002
1054,西南交通大学,高速铁路工程,13周,3-5小时每周,视频 文档 随堂测验 讨论,工学,2086,http://www.icourse163.org/course/SWJTU-94002
1055,西南交通大学,工程力学,11周,3-4,视频 文档 随堂测验 富文本 讨论,工学,6749,http://www.icourse163.org/course/SWJTU-95001
1056,西南交通大学,机械设计,15周,4,视频 文档 随堂测验 讨论,工学,6524,http://www.icourse163.org/course/SWJTU-94001
1057,成都信息工程大学,Office高级应用,12周,3小时每周,视频 文档 随堂测验 富文本 讨论,计算机,30824,http://www.icourse163.org/course/CUIT-1002260004
1058,西南大学,生命科学与伦理,9周,4,视频 随堂测验 讨论,生命科学,5675,http://www.icourse163.org/course/SWU-1002335008
1059,西南大学,经典导读与欣赏,17周,3,视频 讨论,文学历史,6925,http://www.icourse163.org/course/SWU-1001700016
1060,四川师范大学,信息素养：效率提升与终身学习的新引擎,9周,1小时每周,视频 随堂测验 讨论,经济管理,11754,http://www.icourse163.org/course/SICNU-1002031014
1061,深圳大学,多媒体技术及应用,15周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,8144,http://www.icourse163.org/course/SZU-1001752002
1062,西南财经大学,公司金融学,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,12908,http://www.icourse163.org/course/SWUFE-1001651001
1063,西南财经大学,综合能力训练（ERP模拟经营沙盘）,12周,2~4小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,6787,http://www.icourse163.org/course/SWUFE-1002208026
1064,西南财经大学,刑事出庭技能实训,,待定,视频 文档 讨论,法学,758,http://www.icourse163.org/course/SWUFE-1002146005
1065,西南财经大学,创业管理,待定周,待定,视频 文档 随堂测验 讨论,经济管理,3151,http://www.icourse163.org/course/SWUFE-1002131004
1066,西南财经大学,商务智能,11周,1.5-2.5小时每周,视频 随堂测验 讨论,经济管理,2061,http://www.icourse163.org/course/SWUFE-1002080016
1067,西南财经大学,高等数学先修课,6周,0.5-2.5小时每周,视频 文档 随堂测验 富文本 讨论,理学,6683,http://www.icourse163.org/course/SWUFE-1002085007
1068,西南财经大学,管理会计学,8周,1-2小时每周,视频 随堂测验 讨论,经济管理,11246,http://www.icourse163.org/course/SWUFE-1001945002
1069,西北大学,逻辑学导论,12周,3-5,视频 文档 讨论,哲学,12362,http://www.icourse163.org/course/NWU-1002328025
1070,西北大学,大学语文,12周,2小时每周,视频 文档 讨论,文学历史,8019,http://www.icourse163.org/course/NWU-1001756009
1071,西北大学,植物学,10周,2-3小时每周,视频 随堂测验 讨论,生命科学,6818,http://www.icourse163.org/course/NWU-1001743002
1072,西北大学,行政管理学,12周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,4731,http://www.icourse163.org/course/NWU-1001743001
1073,西北大学,数据结构,12周,2学时每周,视频 文档 随堂测验 富文本 讨论,计算机,10839,http://www.icourse163.org/course/NWU-298002
1074,西安电子科技大学,数字信号处理,7周,2-4小时每周,视频,工学,3023,http://www.icourse163.org/course/XIDIAN-1002200002
1075,西安电子科技大学,数字电路与系统设计,13周,4,视频 文档 随堂测验 富文本 讨论,工学,4713,http://www.icourse163.org/course/XIDIAN-1002203001
1076,西安电子科技大学,随机信号分析,13周,每周3小时,视频 随堂测验 讨论,工学,2473,http://www.icourse163.org/course/XIDIAN-1002199010
1077,西安电子科技大学,高频电子电路分析基础,14周,3-5小时每周,视频 文档 讨论,工学,7262,http://www.icourse163.org/course/XIDIAN-1002199009
1078,西安电子科技大学,通信网络基础,7周,0.5-1小时每周,视频 文档 随堂测验 富文本 讨论,工学,2929,http://www.icourse163.org/course/XIDIAN-1002199008
1079,西安电子科技大学,模拟电子电路与技术基础,16周,3小时/每周,视频 文档 随堂测验 讨论,工学,10324,http://www.icourse163.org/course/XIDIAN-1001960018
1080,西安电子科技大学,实用大众线性代数(MATLAB版),14周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,10806,http://www.icourse163.org/course/XIDIAN-1001775006
1081,西安电子科技大学,工程信号与系统,10周,1.5小时每周,视频 文档 随堂测验 富文本 讨论,工学,2820,http://www.icourse163.org/course/XIDIAN-1001638014
1082,西安电子科技大学,信号与系统,14周,2小时每周,视频 文档 随堂测验 富文本 讨论,工学,10195,http://www.icourse163.org/course/XIDIAN-483006
1083,长安大学,工程机械构造,,待定,视频 文档,工学,596,http://www.icourse163.org/course/CHD-1002199007
1084,长安大学,互换性与技术测量,待定周,待定,视频 文档 讨论,工学,1579,http://www.icourse163.org/course/CHD-1002143006
1085,长安大学,机械原理,,待定,视频 文档 随堂测验 富文本 讨论,工学,863,http://www.icourse163.org/course/CHD-1002143005
1086,长安大学,制造过程故障诊断技术,18周,2-5小时每周,视频 随堂测验 讨论,工学,1278,http://www.icourse163.org/course/CHD-1002143004
1087,长安大学,选矿学,10周,4小时每周,视频 文档 富文本 讨论,工学,572,http://www.icourse163.org/course/CHD-1002145002
1088,长安大学,交通规划,5周,6小时每周,视频 文档 富文本 讨论,工学,1695,http://www.icourse163.org/course/CHD-1002128001
1089,长安大学,网络视频监控技术,待定周,待定,视频 随堂测验,计算机,4140,http://www.icourse163.org/course/CHD-1002012002
1090,长安大学,单片机原理与汽车微机应用技术,9周,2-4小时每周,视频 文档 随堂测验 讨论,工学,4310,http://www.icourse163.org/course/CHD-1001949002
1091,陕西师范大学,现代教育技术,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,教育教学,5005,http://www.icourse163.org/course/SNNU-1001517001
1092,第四军医大学,大学计算机——医学计算基础,13周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,4799,http://www.icourse163.org/course/FMMU-396003
1093,上海工程技术大学,计算机导论,16周,2-3小时,视频 文档 随堂测验 富文本 讨论,计算机,3083,http://www.icourse163.org/course/sues-1002251007
1094,上海工程技术大学,数据库技术导论,10周,1.5-2小时,视频 文档 随堂测验 讨论,计算机,2209,http://www.icourse163.org/course/sues-1002251006
1095,上海工程技术大学,微摄影之“社交摄影”基础,12周,2-4小时每周,视频 随堂测验 富文本,艺术设计,11659,http://www.icourse163.org/course/sues-1002249006
1096,上海工程技术大学,中国历代服饰赏析,9周,3小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,19234,http://www.icourse163.org/course/sues-1002246009
1097,上海工程技术大学,东方管理学漫谈,待定周,待定,视频 文档 随堂测验 讨论,经济管理,1217,http://www.icourse163.org/course/sues-1001980002
1098,上海工程技术大学,认识飞行,12周,2-3小时/每周,视频 文档 随堂测验 讨论,工学,3674,http://www.icourse163.org/course/sues-1001982004
1099,金陵科技学院,动画造型基础教程,12周,3小时每周,视频 文档 随堂测验 富文本 讨论,,1731,http://www.icourse163.org/course/JIT-1001759004
1100,金陵科技学院,跨越自然的“彩虹”—桥梁工程导论,14周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,,1465,http://www.icourse163.org/course/JIT-1001862009
1101,金陵科技学院,服装立体裁剪,11周,3-4小时每周,视频 文档 随堂测验 讨论,,1140,http://www.icourse163.org/course/JIT-1001759006
1102,金陵科技学院,消防系统工程与应用,8周,4小时每周,视频 文档 随堂测验 富文本 讨论,,1499,http://www.icourse163.org/course/JIT-1001758004
1103,金陵科技学院,软件需求工程,12周,3,视频 文档 随堂测验 富文本 讨论,,1106,http://www.icourse163.org/course/JIT-1001757003
1104,金陵科技学院,会计学基础,16周,3 小时每周,视频 文档 随堂测验 富文本 讨论,,6022,http://www.icourse163.org/course/JIT-1001758003
1105,金陵科技学院,视觉保健康复技术,9周,4小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,8029,http://www.icourse163.org/course/JIT-1001703008
1106,金陵科技学院,探索“视”界——视光学与视觉科学导论,8周,3,视频 文档 随堂测验 富文本 讨论,生命科学,2690,http://www.icourse163.org/course/JIT-470001
1107,金陵科技学院,宝石加工工艺学,9周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,1694,http://www.icourse163.org/course/JIT-235018
1108,西安工业大学,创新创业学,12周,3-5小时每周,视频 文档,经济管理,4519,http://www.icourse163.org/course/XATU-1002246014
1109,中国人民武装警察部队学院,消防燃烧学,9周,4,视频 文档 随堂测验 富文本 讨论,工学,1644,http://www.icourse163.org/course/WJXY-1002312002
1110,中国人民武装警察部队学院,灭火战术,14周,4,视频 文档 随堂测验 富文本 讨论,法学,2267,http://www.icourse163.org/course/WJXY-1002081014
